Timestamp, Internal_Temp, External_Temp, Humidity, Illuminance, CO2, Oxygen
2026-04-07 11:24:58, 20.26°C, 5.81°C, 54.67%, 586.34 W/m2, 0.04%, 6.31%
2026-04-07 11:25:03, 19.18°C, 6.26°C, 51.01%, 506.61 W/m2, 0.03%, 5.1%
2026-04-07 11:25:08, 29.3°C, 11.52°C, 53.96%, 599.13 W/m2, 0.1%, 5.09%
2026-04-07 11:25:13, 26.22°C, 19.61°C, 51.58%, 503.26 W/m2, 0.09%, 6.09%
2026-04-07 11:25:18, 23.95°C, 20.24°C, 59.46%, 657.15 W/m2, 0.04%, 4.59%
2026-04-07 11:25:23, 22.65°C, 7.92°C, 59.33%, 531.29 W/m2, 0.08%, 4.72%
2026-04-07 11:25:28, 26.4°C, 20.06°C, 58.42%, 500.4 W/m2, 0.02%, 6.41%
2026-04-07 11:25:33, 29.72°C, 15.14°C, 55.54%, 696.85 W/m2, 0.02%, 5.33%
2026-04-07 11:25:38, 27.81°C, 9.24°C, 53.93%, 690.6 W/m2, 0.03%, 6.77%
2026-04-07 11:25:43, 28.67°C, 9.01°C, 52.11%, 531.8 W/m2, 0.09%, 4.26%
2026-04-07 11:25:48, 22.17°C, 20.08°C, 54.59%, 632.23 W/m2, 0.04%, 6.18%
2026-04-07 11:25:53, 23.48°C, 8.81°C, 50.08%, 638.94 W/m2, 0.09%, 5.25%
2026-04-07 11:25:58, 18.09°C, 2.08°C, 58.28%, 662.56 W/m2, 0.07%, 6.54%
2026-04-07 11:26:03, 27.72°C, 16.54°C, 59.7%, 517.95 W/m2, 0.08%, 4.64%
2026-04-07 11:26:08, 19.71°C, 15.86°C, 52.43%, 603.63 W/m2, 0.06%, 5.61%
2026-04-07 11:26:13, 22.83°C, 15.23°C, 53.72%, 539.99 W/m2, 0.05%, 5.4%
2026-04-07 11:26:18, 24.05°C, 6.26°C, 54.67%, 535.45 W/m2, 0.09%, 6.62%
2026-04-07 11:26:23, 22.18°C, 18.53°C, 56.87%, 679.16 W/m2, 0.04%, 4.24%
2026-04-07 11:26:28, 27.79°C, 20.78°C, 53.12%, 593.47 W/m2, 0.06%, 6.09%
2026-04-07 11:26:33, 29.01°C, 14.61°C, 54.26%, 590.51 W/m2, 0.02%, 5.27%
2026-04-07 11:26:38, 28.22°C, 17.18°C, 59.85%, 701.42 W/m2, 0.06%, 6.52%
2026-04-07 11:26:43, 21.76°C, 13.89°C, 57.4%, 589.32 W/m2, 0.03%, 5.99%
2026-04-07 11:26:48, 29.84°C, 3.81°C, 54.79%, 589.57 W/m2, 0.08%, 6.02%
2026-04-07 11:26:53, 27.76°C, 0.34°C, 52.34%, 513.35 W/m2, 0.05%, 5.1%
2026-04-07 11:26:58, 26.91°C, 8.43°C, 57.17%, 659.82 W/m2, 0.07%, 4.6%
2026-04-07 11:27:03, 29.51°C, 5.94°C, 55.86%, 541.65 W/m2, 0.07%, 4.09%
2026-04-07 11:27:08, 20.11°C, 15.95°C, 58.73%, 662.31 W/m2, 0.08%, 6.58%
2026-04-07 11:27:13, 26.29°C, 17.33°C, 52.66%, 517.45 W/m2, 0.06%, 5.33%
2026-04-07 11:27:18, 19.9°C, 0.86°C, 54.76%, 627.58 W/m2, 0.04%, 4.4%
2026-04-07 11:27:23, 24.15°C, 18.23°C, 58.42%, 564.09 W/m2, 0.08%, 4.01%
2026-04-07 11:27:28, 20.79°C, 4.41°C, 52.7%, 704.0 W/m2, 0.05%, 4.98%
2026-04-07 11:27:33, 27.15°C, 1.91°C, 59.14%, 507.91 W/m2, 0.04%, 4.15%
2026-04-07 11:27:38, 22.46°C, 13.86°C, 51.1%, 697.74 W/m2, 0.02%, 4.32%
2026-04-07 11:27:43, 19.06°C, 12.41°C, 58.58%, 553.17 W/m2, 0.08%, 4.95%
2026-04-07 11:27:48, 21.16°C, 1.94°C, 54.12%, 651.45 W/m2, 0.05%, 6.39%
2026-04-07 11:27:53, 23.14°C, 0.8°C, 51.06%, 506.73 W/m2, 0.04%, 6.85%
2026-04-07 11:27:58, 23.26°C, 15.56°C, 50.2%, 600.53 W/m2, 0.06%, 6.75%
2026-04-07 11:28:03, 24.66°C, 4.29°C, 51.97%, 661.15 W/m2, 0.05%, 5.22%
2026-04-07 11:28:08, 22.66°C, 18.78°C, 54.66%, 500.26 W/m2, 0.06%, 6.51%
2026-04-07 11:28:13, 27.05°C, 14.87°C, 59.92%, 591.67 W/m2, 0.08%, 6.74%
2026-04-07 11:28:18, 20.66°C, 13.55°C, 54.72%, 618.45 W/m2, 0.08%, 5.13%
2026-04-07 11:28:23, 22.87°C, 17.93°C, 57.65%, 593.35 W/m2, 0.06%, 6.36%
2026-04-07 11:28:28, 27.12°C, 5.53°C, 56.06%, 560.88 W/m2, 0.07%, 4.85%
2026-04-07 11:28:33, 21.55°C, 15.38°C, 54.53%, 675.73 W/m2, 0.07%, 6.25%
2026-04-07 11:28:38, 29.0°C, 5.2°C, 50.33%, 696.67 W/m2, 0.07%, 5.83%
2026-04-07 11:28:43, 27.8°C, 7.9°C, 52.79%, 711.1 W/m2, 0.05%, 4.25%
2026-04-07 11:28:48, 24.08°C, 10.19°C, 56.99%, 558.48 W/m2, 0.05%, 6.67%
2026-04-07 11:28:53, 27.94°C, 13.24°C, 50.6%, 706.5 W/m2, 0.06%, 6.59%
2026-04-07 11:28:58, 29.37°C, 2.9°C, 53.84%, 632.54 W/m2, 0.06%, 6.19%
2026-04-07 11:29:03, 27.66°C, 2.68°C, 50.55%, 693.94 W/m2, 0.09%, 6.96%
2026-04-07 11:29:08, 22.3°C, 0.53°C, 56.49%, 627.72 W/m2, 0.04%, 6.63%
2026-04-07 11:29:13, 19.23°C, 17.65°C, 58.62%, 579.66 W/m2, 0.08%, 6.22%
2026-04-07 11:29:18, 29.84°C, 9.62°C, 56.12%, 571.04 W/m2, 0.03%, 5.94%
2026-04-07 11:29:23, 28.43°C, 13.01°C, 50.2%, 665.72 W/m2, 0.04%, 5.19%
2026-04-07 11:29:28, 20.8°C, 16.42°C, 58.66%, 545.72 W/m2, 0.06%, 6.8%
2026-04-07 11:29:33, 29.11°C, 19.67°C, 51.43%, 663.21 W/m2, 0.06%, 4.85%
2026-04-07 11:29:38, 22.28°C, 15.89°C, 57.77%, 589.9 W/m2, 0.05%, 4.44%
2026-04-07 11:29:43, 20.16°C, 7.91°C, 54.36%, 672.02 W/m2, 0.1%, 4.58%
2026-04-07 11:29:48, 27.37°C, 8.15°C, 57.29%, 561.21 W/m2, 0.07%, 5.72%
2026-04-07 11:29:53, 25.47°C, 14.27°C, 51.82%, 672.57 W/m2, 0.03%, 5.14%
2026-04-07 11:29:58, 19.48°C, 6.92°C, 55.22%, 620.79 W/m2, 0.04%, 5.62%
2026-04-07 11:30:03, 20.17°C, 13.15°C, 56.67%, 632.18 W/m2, 0.08%, 5.02%
2026-04-07 11:30:08, 25.8°C, 17.13°C, 57.2%, 675.88 W/m2, 0.05%, 6.58%
2026-04-07 11:30:13, 20.85°C, 16.05°C, 53.88%, 563.67 W/m2, 0.03%, 4.02%
2026-04-07 11:30:18, 27.22°C, 8.88°C, 56.49%, 544.43 W/m2, 0.03%, 4.08%
2026-04-07 11:30:23, 19.34°C, 16.43°C, 59.8%, 656.17 W/m2, 0.08%, 5.65%
2026-04-07 11:30:28, 24.22°C, 4.52°C, 54.71%, 635.36 W/m2, 0.07%, 6.85%
2026-04-07 11:30:33, 27.73°C, 18.02°C, 58.33%, 526.51 W/m2, 0.09%, 6.37%
2026-04-07 11:30:38, 25.34°C, 9.8°C, 56.18%, 506.14 W/m2, 0.1%, 5.16%
2026-04-07 11:30:43, 24.63°C, 8.97°C, 51.27%, 555.69 W/m2, 0.09%, 5.98%
2026-04-07 11:30:48, 28.38°C, 6.41°C, 56.77%, 533.93 W/m2, 0.04%, 4.74%
2026-04-07 11:30:53, 23.86°C, 20.59°C, 57.58%, 641.52 W/m2, 0.1%, 4.93%
2026-04-07 11:30:58, 18.34°C, 14.13°C, 52.59%, 626.5 W/m2, 0.09%, 6.73%
2026-04-07 11:31:03, 23.63°C, 9.09°C, 50.28%, 617.23 W/m2, 0.1%, 4.97%
2026-04-07 11:31:08, 29.93°C, 2.0°C, 51.35%, 626.23 W/m2, 0.03%, 6.72%
2026-04-07 11:31:13, 26.79°C, 10.16°C, 51.13%, 703.52 W/m2, 0.1%, 4.05%
2026-04-07 11:31:18, 18.45°C, 3.99°C, 56.26%, 530.34 W/m2, 0.03%, 5.13%
2026-04-07 11:31:23, 19.46°C, 14.69°C, 55.12%, 583.29 W/m2, 0.05%, 5.06%
2026-04-07 11:31:28, 21.2°C, 10.15°C, 51.87%, 564.56 W/m2, 0.05%, 6.31%
2026-04-07 11:31:33, 22.47°C, 19.99°C, 57.51%, 657.01 W/m2, 0.04%, 5.58%
2026-04-07 11:31:38, 29.44°C, 1.15°C, 57.96%, 650.45 W/m2, 0.09%, 4.91%
2026-04-07 11:31:43, 18.6°C, 19.37°C, 50.42%, 578.66 W/m2, 0.02%, 6.92%
2026-04-07 11:31:48, 19.36°C, 12.32°C, 55.85%, 713.17 W/m2, 0.07%, 6.98%
2026-04-07 11:31:53, 29.38°C, 17.6°C, 53.11%, 503.19 W/m2, 0.06%, 5.85%
2026-04-07 11:31:58, 24.56°C, 8.14°C, 50.61%, 665.24 W/m2, 0.08%, 4.43%
2026-04-07 11:32:03, 21.29°C, 20.29°C, 59.87%, 702.14 W/m2, 0.08%, 4.06%
2026-04-07 11:32:08, 26.33°C, 5.74°C, 53.79%, 501.31 W/m2, 0.03%, 6.61%
2026-04-07 11:32:13, 29.29°C, 11.91°C, 51.75%, 536.71 W/m2, 0.08%, 5.38%
2026-04-07 11:32:18, 27.66°C, 17.18°C, 53.36%, 573.33 W/m2, 0.07%, 6.52%
2026-04-07 11:32:23, 20.73°C, 11.64°C, 52.3%, 706.02 W/m2, 0.02%, 5.42%
2026-04-07 11:32:28, 24.3°C, 8.36°C, 51.64%, 585.44 W/m2, 0.05%, 5.67%
2026-04-07 11:32:33, 26.15°C, 2.42°C, 52.4%, 573.72 W/m2, 0.02%, 6.14%
2026-04-07 11:32:38, 26.59°C, 18.85°C, 59.37%, 644.45 W/m2, 0.04%, 5.07%
2026-04-07 11:32:43, 24.12°C, 3.43°C, 52.51%, 512.04 W/m2, 0.05%, 4.94%
2026-04-07 11:32:48, 23.12°C, 6.17°C, 57.93%, 634.62 W/m2, 0.08%, 5.88%
2026-04-07 11:32:53, 26.99°C, 17.37°C, 55.51%, 552.66 W/m2, 0.08%, 6.23%
2026-04-07 11:32:58, 28.98°C, 19.21°C, 54.77%, 537.1 W/m2, 0.02%, 5.08%
2026-04-07 11:33:03, 22.23°C, 6.99°C, 58.68%, 688.27 W/m2, 0.08%, 5.59%
2026-04-07 11:33:08, 24.93°C, 12.79°C, 54.18%, 654.04 W/m2, 0.1%, 5.39%
2026-04-07 11:33:13, 26.49°C, 3.7°C, 52.24%, 500.45 W/m2, 0.06%, 6.97%
2026-04-07 11:33:18, 20.67°C, 0.27°C, 58.78%, 699.69 W/m2, 0.1%, 4.88%
2026-04-07 11:33:23, 21.22°C, 13.53°C, 58.53%, 593.74 W/m2, 0.09%, 5.63%
2026-04-07 11:33:28, 28.34°C, 15.36°C, 52.89%, 603.04 W/m2, 0.05%, 6.4%
2026-04-07 11:33:33, 24.59°C, 13.59°C, 56.77%, 552.94 W/m2, 0.06%, 6.43%
2026-04-07 11:33:38, 21.66°C, 7.66°C, 54.13%, 711.71 W/m2, 0.02%, 6.56%
2026-04-07 11:33:43, 27.06°C, 0.06°C, 56.22%, 570.63 W/m2, 0.06%, 4.23%
2026-04-07 11:33:48, 23.2°C, 17.82°C, 52.53%, 673.84 W/m2, 0.1%, 6.18%
2026-04-07 11:33:53, 22.85°C, 8.29°C, 57.53%, 559.01 W/m2, 0.07%, 5.11%
2026-04-07 11:33:58, 22.93°C, 0.5°C, 55.7%, 504.88 W/m2, 0.05%, 5.53%
2026-04-07 11:34:03, 26.16°C, 8.43°C, 51.66%, 517.67 W/m2, 0.07%, 4.8%
2026-04-07 11:34:08, 18.5°C, 20.18°C, 56.59%, 560.89 W/m2, 0.09%, 4.79%
2026-04-07 11:34:13, 28.3°C, 2.87°C, 53.45%, 679.86 W/m2, 0.08%, 4.97%
2026-04-07 11:34:18, 26.34°C, 14.19°C, 50.38%, 598.88 W/m2, 0.02%, 5.11%
2026-04-07 11:34:23, 26.6°C, 8.44°C, 58.92%, 661.49 W/m2, 0.07%, 4.48%
2026-04-07 11:34:28, 19.96°C, 11.35°C, 51.54%, 632.55 W/m2, 0.1%, 6.47%
2026-04-07 11:34:33, 26.82°C, 12.05°C, 54.15%, 684.58 W/m2, 0.03%, 5.55%
2026-04-07 11:34:38, 26.23°C, 13.39°C, 51.56%, 539.37 W/m2, 0.06%, 5.98%
2026-04-07 11:34:43, 24.81°C, 19.18°C, 51.94%, 633.27 W/m2, 0.07%, 4.9%
2026-04-07 11:34:48, 28.81°C, 7.1°C, 58.76%, 686.32 W/m2, 0.06%, 4.17%
2026-04-07 11:34:53, 21.98°C, 8.41°C, 53.6%, 699.73 W/m2, 0.08%, 6.55%
2026-04-07 11:34:58, 21.49°C, 1.03°C, 50.24%, 625.17 W/m2, 0.05%, 5.63%
2026-04-07 11:35:03, 18.39°C, 14.85°C, 55.38%, 573.1 W/m2, 0.07%, 6.98%
2026-04-07 11:35:08, 22.62°C, 18.11°C, 54.46%, 705.67 W/m2, 0.07%, 4.62%
2026-04-07 11:35:13, 21.72°C, 17.69°C, 52.45%, 500.27 W/m2, 0.09%, 4.18%
2026-04-07 11:35:18, 25.47°C, 11.74°C, 52.46%, 635.92 W/m2, 0.06%, 4.03%
2026-04-07 11:35:23, 21.08°C, 19.09°C, 52.67%, 610.49 W/m2, 0.04%, 5.34%
2026-04-07 11:35:28, 20.97°C, 7.94°C, 50.75%, 568.42 W/m2, 0.06%, 6.23%
2026-04-07 11:35:33, 26.41°C, 7.41°C, 50.98%, 675.31 W/m2, 0.05%, 4.12%
2026-04-07 11:35:38, 25.51°C, 20.1°C, 59.72%, 609.36 W/m2, 0.05%, 5.43%
2026-04-07 11:35:43, 26.22°C, 18.94°C, 50.66%, 505.49 W/m2, 0.09%, 6.06%
2026-04-07 11:35:48, 26.16°C, 15.05°C, 58.32%, 643.04 W/m2, 0.08%, 5.28%
2026-04-07 11:35:53, 18.9°C, 18.46°C, 53.09%, 609.44 W/m2, 0.1%, 6.31%
2026-04-07 11:35:58, 27.26°C, 20.27°C, 50.39%, 548.19 W/m2, 0.04%, 6.24%
2026-04-07 11:36:03, 27.39°C, 5.07°C, 53.53%, 672.43 W/m2, 0.09%, 6.06%
2026-04-07 11:36:08, 28.56°C, 13.14°C, 52.62%, 601.52 W/m2, 0.06%, 6.38%
2026-04-07 11:36:13, 23.86°C, 20.34°C, 59.97%, 609.48 W/m2, 0.06%, 4.49%
2026-04-07 11:36:18, 25.05°C, 14.33°C, 57.35%, 687.8 W/m2, 0.1%, 6.2%
2026-04-07 11:36:23, 18.55°C, 5.2°C, 54.29%, 569.42 W/m2, 0.09%, 6.18%
2026-04-07 11:36:28, 23.62°C, 2.34°C, 53.48%, 626.72 W/m2, 0.06%, 6.0%
2026-04-07 11:36:33, 21.83°C, 19.59°C, 50.45%, 624.89 W/m2, 0.02%, 6.3%
2026-04-07 11:36:38, 18.41°C, 3.36°C, 52.99%, 600.77 W/m2, 0.04%, 6.95%
2026-04-07 11:36:43, 28.12°C, 9.2°C, 59.62%, 654.63 W/m2, 0.07%, 6.04%
2026-04-07 11:36:48, 21.57°C, 20.07°C, 55.16%, 654.68 W/m2, 0.06%, 4.81%
2026-04-07 11:36:53, 29.11°C, 8.85°C, 53.12%, 616.7 W/m2, 0.03%, 4.25%
2026-04-07 11:36:58, 18.52°C, 18.46°C, 51.29%, 635.67 W/m2, 0.04%, 5.14%
2026-04-07 11:37:03, 23.25°C, 14.71°C, 56.25%, 601.15 W/m2, 0.09%, 6.48%
2026-04-07 11:37:08, 25.02°C, 10.88°C, 56.6%, 663.55 W/m2, 0.05%, 5.95%
2026-04-07 11:37:13, 25.96°C, 0.93°C, 52.51%, 701.39 W/m2, 0.02%, 6.57%
2026-04-07 11:37:18, 29.05°C, 18.82°C, 53.08%, 699.94 W/m2, 0.03%, 6.91%
2026-04-07 11:37:23, 23.87°C, 16.56°C, 58.05%, 576.4 W/m2, 0.03%, 5.17%
2026-04-07 11:37:28, 20.15°C, 1.17°C, 51.69%, 519.82 W/m2, 0.04%, 5.09%
2026-04-07 11:37:33, 20.61°C, 3.65°C, 59.48%, 571.35 W/m2, 0.04%, 5.57%
2026-04-07 11:37:38, 21.39°C, 20.99°C, 55.33%, 503.55 W/m2, 0.09%, 4.23%
2026-04-07 11:37:43, 19.14°C, 19.39°C, 52.97%, 664.64 W/m2, 0.02%, 4.9%
2026-04-07 11:37:48, 28.97°C, 2.3°C, 53.62%, 648.76 W/m2, 0.07%, 5.96%
2026-04-07 11:37:53, 26.35°C, 13.45°C, 59.81%, 642.66 W/m2, 0.07%, 6.69%
2026-04-07 11:37:58, 27.58°C, 20.02°C, 54.76%, 533.58 W/m2, 0.09%, 4.6%
2026-04-07 11:38:03, 24.13°C, 19.11°C, 51.74%, 664.28 W/m2, 0.07%, 5.28%
2026-04-07 11:38:08, 19.09°C, 6.8°C, 51.44%, 599.09 W/m2, 0.1%, 4.93%
2026-04-07 11:38:13, 27.16°C, 7.66°C, 57.54%, 652.42 W/m2, 0.03%, 6.39%
2026-04-07 11:38:18, 19.61°C, 18.14°C, 52.65%, 584.75 W/m2, 0.04%, 4.98%
2026-04-07 11:38:23, 26.23°C, 9.54°C, 56.3%, 596.75 W/m2, 0.08%, 4.13%
2026-04-07 11:38:28, 21.93°C, 4.46°C, 51.37%, 632.94 W/m2, 0.03%, 5.48%
2026-04-07 11:38:33, 29.78°C, 8.11°C, 50.51%, 537.91 W/m2, 0.02%, 5.59%
